"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 25 12:03:58 IST 2021","Sat Dec 25 12:04:00 IST 2021","2436","Suite","GoogleSearch","GoogleSearch","GoogleSearch","Test01_GoogleSearch","Google Search","Search for a given input using Google Search bar and verify it is contained in the first result"
"passed","Sat Dec 25 12:06:45 IST 2021","Sat Dec 25 12:06:48 IST 2021","3211","Suite","ReqResApi","ReqresApi","ReqresApi","Test01_ReqRes_Emails","ReqRes List of Emails","Using ReqRes Api print all emails in all pages"
